content_type,academic_year_label,teacher_employee_code,class_name,section_name,subject_code,title,description,type,total_marks,due_date,file_or_url
material,2026-27,FAC001,CSE Semester 1,A,CSE101,Engineering Mathematics I - Week 1,Professional mock content for Engineering Mathematics I,PDF,,,https://files.scholaris.demo.edu/content/cse101-1.pdf
assessment,2026-27,FAC002,CSE Semester 1,B,CSE102,Python Programming - Week 2,Professional mock content for Python Programming,Quiz,35,2026-09-03,https://files.scholaris.demo.edu/content/cse102-2.pdf
assignment,2026-27,FAC003,CSE Semester 1,A,CSE103,Digital Logic Design - Week 3,Professional mock content for Digital Logic Design,Assignment,40,2026-09-04,https://files.scholaris.demo.edu/content/cse103-3.pdf
material,2026-27,FAC004,CSE Semester 1,B,CSE104,Computer Organization - Week 4,Professional mock content for Computer Organization,PDF,,,https://files.scholaris.demo.edu/content/cse104-4.pdf
assessment,2026-27,FAC005,CSE Semester 1,A,CSE105,Professional Communication - Week 5,Professional mock content for Professional Communication,Quiz,30,2026-09-06,https://files.scholaris.demo.edu/content/cse105-5.pdf
assignment,2026-27,FAC006,CSE Semester 2,B,CSE201,Engineering Mathematics I II - Week 6,Professional mock content for Engineering Mathematics I II,Assignment,35,2026-09-07,https://files.scholaris.demo.edu/content/cse201-6.pdf
material,2026-27,FAC007,CSE Semester 2,A,CSE202,Python Programming II - Week 7,Professional mock content for Python Programming II,PDF,,,https://files.scholaris.demo.edu/content/cse202-7.pdf
assessment,2026-27,FAC008,CSE Semester 2,B,CSE203,Digital Logic Design II - Week 8,Professional mock content for Digital Logic Design II,Quiz,25,2026-09-09,https://files.scholaris.demo.edu/content/cse203-8.pdf
assignment,2026-27,FAC009,CSE Semester 2,A,CSE204,Computer Organization II - Week 1,Professional mock content for Computer Organization II,Assignment,30,2026-09-10,https://files.scholaris.demo.edu/content/cse204-9.pdf
material,2026-27,FAC010,CSE Semester 2,B,CSE205,Professional Communication II - Week 2,Professional mock content for Professional Communication II,PDF,,,https://files.scholaris.demo.edu/content/cse205-10.pdf
assessment,2026-27,FAC011,AIML Semester 1,A,AIML101,Linear Algebra for AI - Week 3,Professional mock content for Linear Algebra for AI,Quiz,40,2026-09-12,https://files.scholaris.demo.edu/content/aiml101-11.pdf
assignment,2026-27,FAC012,AIML Semester 1,B,AIML102,Python for AI - Week 4,Professional mock content for Python for AI,Assignment,25,2026-09-13,https://files.scholaris.demo.edu/content/aiml102-12.pdf
material,2026-27,FAC013,AIML Semester 1,A,AIML103,Data Visualization - Week 5,Professional mock content for Data Visualization,PDF,,,https://files.scholaris.demo.edu/content/aiml103-13.pdf
assessment,2026-27,FAC014,AIML Semester 1,B,AIML104,Statistics for Data Science - Week 6,Professional mock content for Statistics for Data Science,Quiz,35,2026-09-15,https://files.scholaris.demo.edu/content/aiml104-14.pdf
assignment,2026-27,FAC015,AIML Semester 1,A,AIML105,AI Workshop - Week 7,Professional mock content for AI Workshop,Assignment,40,2026-09-16,https://files.scholaris.demo.edu/content/aiml105-15.pdf
material,2026-27,FAC016,AIML Semester 2,B,AIML201,Linear Algebra for AI II - Week 8,Professional mock content for Linear Algebra for AI II,PDF,,,https://files.scholaris.demo.edu/content/aiml201-16.pdf
