isbn,barcode,title,author,publisher,total_copies,available_copies
9789350000001,LIB00001,Programming: Concepts and Applications Vol 1,Rohan Kumar,McGraw Hill,4,3
9789350000002,LIB00002,Data Structures: Concepts and Applications Vol 1,Meera Nair,Oxford University Press,5,4
9789350000003,LIB00003,Database Systems: Concepts and Applications Vol 1,Karthik Rao,S Chand,6,5
9789350000004,LIB00004,Operating Systems: Concepts and Applications Vol 1,Diya Patel,Wiley,7,6
9789350000005,LIB00005,Computer Networks: Concepts and Applications Vol 1,Arjun Reddy,O'Reilly,8,2
9789350000006,LIB00006,Artificial Intelligence: Concepts and Applications Vol 1,Nisha Jain,BPB Publications,3,3
9789350000007,LIB00007,Machine Learning: Concepts and Applications Vol 1,Dev Malhotra,Pearson,4,4
9789350000008,LIB00008,Cloud Computing: Concepts and Applications Vol 1,Sara Thomas,McGraw Hill,5,5
9789350000009,LIB00009,Digital Electronics: Concepts and Applications Vol 1,Ishan Verma,Oxford University Press,6,6
9789350000010,LIB00010,Engineering Mathematics: Concepts and Applications Vol 1,Aarav Iyer,S Chand,7,2
9789350000011,LIB00011,Business Management: Concepts and Applications Vol 1,Kiara Menon,Wiley,8,3
9789350000012,LIB00012,Financial Accounting: Concepts and Applications Vol 1,Vivaan Bhat,O'Reilly,3,4
9789350000013,LIB00013,Marketing Management: Concepts and Applications Vol 1,Saanvi Kulkarni,BPB Publications,4,5
9789350000014,LIB00014,Business Law: Concepts and Applications Vol 1,Aditya Shetty,Pearson,5,6
9789350000015,LIB00015,Research Methodology: Concepts and Applications Vol 1,Ira Gupta,McGraw Hill,6,2
9789350000016,LIB00016,Programming: Concepts and Applications Vol 2,Kabir Joshi,Oxford University Press,7,3
9789350000017,LIB00017,Data Structures: Concepts and Applications Vol 2,Tara Khan,S Chand,8,4
9789350000018,LIB00018,Database Systems: Concepts and Applications Vol 2,Reyansh Das,Wiley,3,5
9789350000019,LIB00019,Operating Systems: Concepts and Applications Vol 2,Myra Ali,O'Reilly,4,6
9789350000020,LIB00020,Computer Networks: Concepts and Applications Vol 2,Aisha Sharma,BPB Publications,5,2
